time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-25T07:25:13.673Z,53.9214,-35.2825,10,4.4,mb,31,105,9.065,0.84,us,us7000ikzi,2023-01-03T15:23:46.040Z,"Reykjanes Ridge",earthquake,11.2,1.905,0.13,17,reviewed,us,us
2022-10-25T07:02:37.303Z,53.8052,-35.2916,10,4.6,mb,48,64,9.16,0.61,us,us6000iwa4,2023-01-03T15:23:37.040Z,"",earthquake,10.11,1.857,0.067,67,reviewed,us,us
2022-10-25T06:54:06.108Z,53.725,-35.236,10,4.5,mb,70,129,9.246,0.42,us,us6000iwa5,2023-01-03T15:23:37.040Z,"Reykjanes Ridge",earthquake,8.89,1.444,0.066,68,reviewed,us,us
2022-10-18T11:37:18.818Z,53.8934,-35.414,10,4.4,mb,16,146,9.047,0.34,us,us6000ivjp,2022-12-31T23:03:47.040Z,"Reykjanes Ridge",earthquake,11.53,1.957,0.178,9,reviewed,us,us
2022-10-18T10:50:05.935Z,53.9351,-35.1474,10,4.5,mb,84,86,9.097,0.59,us,us6000ivjg,2022-12-31T23:03:47.040Z,"",earthquake,10.84,1.882,0.065,70,reviewed,us,us
2022-10-18T09:03:46.586Z,53.9983,-35.1749,10,4.6,mb,93,54,9.035,0.38,us,us6000iuhp,2022-12-31T23:03:37.040Z,"Reykjanes Ridge",earthquake,9.92,1.834,0.054,101,reviewed,us,us
2022-10-18T08:21:38.942Z,53.9641,-35.1563,10,4.6,mb,44,71,9.07,0.88,us,us6000iuhn,2022-12-31T23:03:37.040Z,"Reykjanes Ridge",earthquake,9.97,1.646,0.06,83,reviewed,us,us
2022-10-18T05:31:01.436Z,53.9158,-35.2831,10,4.3,mb,35,113,9.07,0.42,us,us6000ivj4,2022-12-31T23:03:47.040Z,"",earthquake,12.27,1.938,0.105,26,reviewed,us,us
2022-10-18T05:03:37.971Z,53.9156,-35.2255,10,4.4,mb,45,106,9.088,0.4,us,us6000ivj3,2022-12-31T23:03:47.040Z,"Reykjanes Ridge",earthquake,2.92,1.915,0.074,52,reviewed,us,us
2022-10-18T04:01:06.741Z,53.9206,-35.2345,10,4.4,mb,38,86,18.353,0.41,us,us6000ivjf,2022-12-31T23:03:47.040Z,"Reykjanes Ridge",earthquake,11.89,1.736,0.104,27,reviewed,us,us
2022-10-18T03:42:38.022Z,53.9126,-35.3231,10,4.5,mb,52,91,9.059,0.3,us,us6000ivj0,2022-12-31T23:03:47.040Z,"Reykjanes Ridge",earthquake,11,1.869,0.089,37,reviewed,us,us
2022-10-18T03:17:44.334Z,54.0066,-35.3277,10,4.4,mb,38,105,9.962,0.51,us,us6000iviz,2022-12-31T23:03:47.040Z,"Reykjanes Ridge",earthquake,9.72,1.904,0.109,24,reviewed,us,us
2022-10-18T03:07:19.891Z,53.9202,-35.1129,10,4.3,mb,22,86,18.422,0.44,us,us6000iviy,2022-12-31T23:03:47.040Z,"Reykjanes Ridge",earthquake,12.85,1.838,0.161,11,reviewed,us,us
2022-10-14T01:34:35.611Z,52.9038,-35.0263,10,4.8,mb,72,83,10.954,0.77,us,us6000itj1,2022-12-17T22:54:04.040Z,"Reykjanes Ridge",earthquake,10.68,1.861,0.039,199,reviewed,us,us
2022-10-10T16:39:56.067Z,53.9347,-35.4238,10,4.5,mb,90,90,11.771,0.46,us,us6000itn9,2022-12-17T22:54:10.040Z,"Reykjanes Ridge",earthquake,10.17,1.838,0.061,82,reviewed,us,us
2022-10-10T14:56:29.661Z,53.9343,-35.1051,10,4.5,mb,68,57,9.111,0.48,us,us6000itng,2022-12-17T22:54:10.040Z,"",earthquake,11.12,1.871,0.077,52,reviewed,us,us
2022-10-10T14:33:05.129Z,53.9719,-35.1511,10,4.4,mb,74,105,9.065,0.54,us,us6000itne,2022-12-17T22:54:10.040Z,"Reykjanes Ridge",earthquake,8.14,1.829,0.071,59,reviewed,us,us
2022-10-10T13:23:50.741Z,53.7724,-35.1744,10,4.6,mb,106,46,9.225,0.43,us,us6000isi2,2022-12-17T22:53:50.040Z,"Reykjanes Ridge",earthquake,9.74,1.834,0.052,116,reviewed,us,us
2022-10-10T06:45:08.087Z,53.9073,-35.152,10,4.5,mb,75,90,18.403,0.42,us,us6000isf8,2022-12-17T22:53:48.040Z,"Reykjanes Ridge",earthquake,11.97,1.871,0.069,62,reviewed,us,us
2022-10-10T05:56:37.052Z,53.8131,-35.0862,10,4.6,mb,55,90,9.219,0.56,us,us6000itmr,2022-12-17T22:54:09.040Z,"Reykjanes Ridge",earthquake,11.17,1.869,0.086,40,reviewed,us,us
2022-10-10T05:12:02.275Z,53.7837,-35.1023,10,4.7,mb,91,71,9.239,0.35,us,us6000itmy,2022-12-17T22:54:09.040Z,"Reykjanes Ridge",earthquake,10.4,1.863,0.059,88,reviewed,us,us
2022-10-10T00:44:47.962Z,54.083,-35.0767,10,4.6,mb,78,57,8.996,0.43,us,us6000itmh,2022-12-17T22:54:08.040Z,"Reykjanes Ridge",earthquake,9.8,1.871,0.071,59,reviewed,us,us
2022-10-08T15:45:13.178Z,53.8482,-35.0696,10,4.5,mb,28,137,9.195,0.46,us,us6000itcv,2022-12-17T22:54:02.040Z,"Reykjanes Ridge",earthquake,12.05,1.953,0.115,22,reviewed,us,us
2022-10-07T16:14:06.138Z,53.8115,-35.6493,10,4.6,mb,47,71,9.043,0.65,us,us6000irwc,2022-12-10T22:53:54.040Z,"Reykjanes Ridge",earthquake,8.05,1.554,0.046,139,reviewed,us,us
2022-10-07T04:31:22.110Z,53.9488,-35.2444,10,4.6,mb,25,105,22.168,1.02,us,us6000itat,2022-12-10T22:54:09.040Z,"Reykjanes Ridge",earthquake,13.4,1.888,0.133,17,reviewed,us,us
2022-10-07T04:12:58.550Z,53.9747,-35.2536,10,4.6,mb,38,105,18.327,0.89,us,us6000itau,2022-12-10T22:54:09.040Z,"Reykjanes Ridge",earthquake,13.62,1.92,0.082,45,reviewed,us,us
2022-10-07T04:00:37.703Z,54.1417,-35.1402,10,4.5,mb,24,95,8.927,0.83,us,us6000itas,2022-12-10T22:54:09.040Z,"Reykjanes Ridge",earthquake,8.45,1.898,0.15,14,reviewed,us,us
2022-10-05T21:10:21.776Z,53.6609,-35.257,10,4.4,mb,27,138,20.51,0.67,us,us6000isqx,2022-12-10T22:54:04.040Z,"Reykjanes Ridge",earthquake,14.47,1.941,0.13,17,reviewed,us,us
2022-10-04T15:20:31.005Z,53.8687,-35.0759,10,4.4,mb,41,74,9.176,0.69,us,us6000ish2,2022-12-10T22:53:59.040Z,"Reykjanes Ridge",earthquake,10.8,1.586,0.12,21,reviewed,us,us
2022-10-04T15:07:30.988Z,53.9048,-35.0681,10,4.4,mb,82,74,9.148,0.6,us,us6000ish1,2022-12-10T22:53:59.040Z,"Reykjanes Ridge",earthquake,8.96,1.575,0.068,65,reviewed,us,us
2022-10-04T14:58:59.408Z,53.7544,-35.2477,10,4.5,mb,71,61,9.217,0.52,us,us6000iqq4,2022-12-10T22:53:07.040Z,"Reykjanes Ridge",earthquake,9.59,1.578,0.078,53,reviewed,us,us
2022-10-04T14:41:32.633Z,53.8534,-35.1487,10,4.6,mb,105,71,9.165,0.48,us,us6000ish0,2022-12-10T22:53:59.040Z,"Reykjanes Ridge",earthquake,10.33,1.859,0.059,88,reviewed,us,us
2022-10-04T14:35:35.841Z,53.7635,-35.1945,10,4.4,mb,46,86,9.226,0.53,us,us6000isha,2022-12-10T22:54:01.040Z,"Reykjanes Ridge",earthquake,3.33,1.878,0.099,31,reviewed,us,us
2022-10-04T14:17:02.865Z,53.744,-35.2312,10,4.5,mb,64,85,9.231,0.54,us,us6000isgy,2022-12-10T22:53:59.040Z,"Reykjanes Ridge",earthquake,9.95,1.86,0.083,43,reviewed,us,us
2022-10-04T13:47:51.444Z,53.835,-35.1886,10,4.6,mb,79,67,9.168,0.56,us,us6000isgx,2022-12-10T22:53:59.040Z,"Reykjanes Ridge",earthquake,7.41,1.793,0.063,75,reviewed,us,us
2022-10-04T11:01:42.094Z,53.9137,-35.2336,10,4.5,mb,99,90,9.087,0.33,us,us6000iqnm,2022-12-10T22:53:05.040Z,"Reykjanes Ridge",earthquake,9.17,1.825,0.055,98,reviewed,us,us
2022-10-04T10:59:16.860Z,54.0717,-35.0452,10,4.5,mb,44,88,9.016,0.42,us,us6000isgu,2022-12-10T22:53:58.040Z,"Reykjanes Ridge",earthquake,12.18,1.914,0.098,30,reviewed,us,us
2022-10-03T18:08:22.131Z,53.6712,-35.507,10,5,mww,103,24,9.207,0.92,us,us6000iqid,2022-12-10T22:53:00.040Z,"Reykjanes Ridge",earthquake,9.18,1.776,0.046,46,reviewed,us,us
2022-10-03T11:50:55.114Z,54.0731,-35.1002,10,4.5,mb,56,86,8.997,0.43,us,us6000iruy,2022-12-10T22:53:50.040Z,"Reykjanes Ridge",earthquake,10.54,1.904,0.079,47,reviewed,us,us
2022-10-03T10:36:49.391Z,53.9461,-35.2801,10,4.6,mb,44,71,18.32,0.61,us,us6000iqe5,2022-12-10T22:52:58.040Z,"Reykjanes Ridge",earthquake,11.77,1.858,0.067,79,reviewed,us,us
2022-10-03T10:19:20.467Z,53.9589,-35.2575,10,4.5,mb,48,86,18.329,0.49,us,us6000iqe1,2022-12-10T22:52:58.040Z,"Reykjanes Ridge",earthquake,9.98,1.446,0.058,88,reviewed,us,us
2022-10-03T09:54:15.738Z,53.9619,-35.17,10,4.5,mb,32,149,15.057,0.53,us,us6000irv3,2022-12-10T22:53:52.040Z,"Reykjanes Ridge",earthquake,11.45,1.888,0.095,32,reviewed,us,us
2022-10-03T09:18:56.320Z,53.9936,-35.1972,10,4.3,mb,21,146,18.497,0.61,us,us6000iruu,2022-12-10T22:53:50.040Z,"Reykjanes Ridge",earthquake,12.1,1.924,0.178,12,reviewed,us,us
2022-10-03T05:20:50.932Z,54.1013,-35.2606,10,4.4,mb,13,109,8.921,0.41,us,us6000irva,2022-12-10T22:53:53.040Z,"Reykjanes Ridge",earthquake,12.78,1.916,0.179,9,reviewed,us,us
2022-10-02T17:38:21.099Z,54.0657,-35.1886,10,4.5,mb,16,149,8.974,0.68,us,us6000iru1,2022-12-10T22:53:46.040Z,"Reykjanes Ridge",earthquake,10.84,1.918,0.222,6,reviewed,us,us
2022-10-02T16:44:32.186Z,53.9047,-35.2395,10,4.7,mb,140,66,9.093,0.58,us,us6000iru8,2022-12-10T22:53:47.040Z,"Reykjanes Ridge",earthquake,9.48,1.828,0.046,148,reviewed,us,us
2022-10-02T16:09:24.200Z,53.918,-35.2236,10,4.6,mb,99,45,9.087,0.66,us,us6000iq8t,2022-12-10T22:52:48.040Z,"Reykjanes Ridge",earthquake,8.38,1.701,0.054,104,reviewed,us,us
2022-10-01T23:51:33.331Z,54.1252,-35.2706,10,4.5,mb,47,112,18.278,0.63,us,us6000irk7,2022-12-10T22:53:33.040Z,"Reykjanes Ridge",earthquake,12.8,1.901,0.095,32,reviewed,us,us
2022-10-01T13:41:38.787Z,53.9724,-35.173,10,4.6,mb,113,68,18.982,0.59,us,us6000ipzu,2022-12-10T22:52:32.040Z,"Reykjanes Ridge",earthquake,9.22,1.839,0.055,105,reviewed,us,us
2022-10-01T13:37:44.543Z,54.0412,-35.3056,10,4.7,mb,25,149,18.28,0.88,us,us6000irjm,2022-12-10T22:53:30.040Z,"Reykjanes Ridge",earthquake,14.4,1.828,0.097,32,reviewed,us,us
2022-10-01T13:19:09.659Z,53.6804,-34.9694,10,4.5,mb,15,161,22.282,1.05,us,us6000irji,2022-12-10T22:53:29.040Z,"Reykjanes Ridge",earthquake,15.05,1.875,0.181,9,reviewed,us,us
2022-10-01T11:31:16.429Z,53.6828,-35.2397,10,4.6,mb,64,84,18.415,0.35,us,us6000irjp,2022-12-10T22:53:30.040Z,"Reykjanes Ridge",earthquake,11.06,1.866,0.073,57,reviewed,us,us
2022-10-01T04:58:04.089Z,53.7791,-35.2178,10,4.8,mb,58,38,9.206,0.8,us,us6000ipx0,2022-12-10T22:52:27.040Z,"Reykjanes Ridge",earthquake,10.26,1.83,0.054,107,reviewed,us,us
2022-10-01T04:46:01.650Z,53.8219,-35.2219,10,4.5,mb,26,129,18.562,0.9,us,us6000irjb,2022-12-10T22:53:29.040Z,"Reykjanes Ridge",earthquake,14.29,1.926,0.15,13,reviewed,us,us
2022-10-01T04:25:10.001Z,53.7866,-35.2019,10,4.5,mb,30,148,9.205,0.91,us,us6000irja,2022-12-10T22:53:28.040Z,"Reykjanes Ridge",earthquake,11.71,1.846,0.135,16,reviewed,us,us
2022-10-01T02:06:08.845Z,53.7617,-35.1866,10,4.8,mb,58,56,9.231,1.07,us,us6000ipvm,2022-12-10T22:52:25.040Z,"Reykjanes Ridge",earthquake,9.54,1.801,0.045,153,reviewed,us,us
